date,close,adj_close,volume
2009-07-01,90.36000061035156,60.91185760498047,394100
2009-07-02,90.66000366210938,61.11411666870117,431700
2009-07-06,90.72000122070312,61.15454864501953,472200
2009-07-07,91.08000183105469,61.397281646728516,741600
2009-07-08,92.12999725341797,62.10507583618164,658900
2009-07-09,91.58999633789062,61.74101638793945,668900
2009-07-10,92.16000366210938,62.125247955322266,400300
2009-07-13,91.83000183105469,61.902854919433594,327400
2009-07-14,91.22000122070312,61.49159622192383,942100
2009-07-15,90.04000091552734,60.6961784362793,714400
2009-07-16,90.58000183105469,61.06018829345703,194900
2009-07-17,89.97000122070312,60.648990631103516,616000
2009-07-20,90.30000305175781,60.871402740478516,335400
2009-07-21,91.30999755859375,61.55227279663086,837700
2009-07-22,90.7699966430664,61.1882438659668,298300
2009-07-23,89.88999938964844,60.59508514404297,518100
2009-07-24,90.08000183105469,60.72313690185547,292400
2009-07-27,89.66000366210938,60.440040588378906,326800
2009-07-28,89.83999633789062,60.56134033203125,299300
2009-07-29,89.9000015258789,60.60177993774414,265200
2009-07-30,90.26000213623047,60.844444274902344,367400
2009-07-31,91.16999816894531,61.45789337158203,631800
2009-08-03,89.94000244140625,60.80481719970703,453700
2009-08-04,89.68000030517578,60.628997802734375,552000
2009-08-05,89.16999816894531,60.28427505493164,393900
2009-08-06,89.16999816894531,60.28427505493164,311200
2009-08-07,88.58000183105469,59.885440826416016,507200
2009-08-10,89.1500015258789,60.270729064941406,1487700
2009-08-11,89.7699966430664,60.68989562988281,327400
2009-08-12,89.5199966430664,60.52088928222656,624700
2009-08-13,90.22000122070312,60.99412155151367,614700
2009-08-14,90.5,61.183433532714844,695000
2009-08-17,91.12000274658203,61.60261917114258,572900
2009-08-18,90.80000305175781,61.38626480102539,514700
2009-08-19,91.13999938964844,61.616085052490234,495400
2009-08-20,91.37999725341797,61.778377532958984,542900
2009-08-21,90.44999694824219,61.14961624145508,435100
2009-08-24,91.01000213623047,61.5281867980957,369100
2009-08-25,91.25,61.69050979614258,315800
2009-08-26,91.37000274658203,61.7715950012207,219600
2009-08-27,91.12000274658203,61.60261917114258,378700
2009-08-28,91.33000183105469,61.744537353515625,303500
2009-08-31,91.5999984741211,61.92708969116211,483700
2009-09-01,91.58000183105469,62.08778762817383,464500
2009-09-02,92.08000183105469,62.426753997802734,381900
2009-09-03,91.75,62.2030029296875,246400
2009-09-04,91.19999694824219,61.830135345458984,521400
2009-09-08,90.98999786376953,61.687782287597656,408700
2009-09-09,91.06999969482422,61.74201583862305,568400
2009-09-10,91.75,62.2030029296875,626900
2009-09-11,92.0199966430664,62.386070251464844,1319500
2009-09-14,91.4800033569336,62.020023345947266,477100
2009-09-15,91.29000091552734,61.891136169433594,710100
2009-09-16,91.22000122070312,61.84370422363281,743200
2009-09-17,91.66999816894531,62.148807525634766,846500
2009-09-18,91.18000030517578,61.81662368774414,910200
2009-09-21,91.12000274658203,61.77590560913086,617200
2009-09-22,91.36000061035156,61.93865203857422,438800
2009-09-23,91.55999755859375,62.07419967651367,794500
2009-09-24,91.80999755859375,62.24371337890625,501200
2009-09-25,92.18000030517578,62.49458694458008,454100
2009-09-28,92.33999633789062,62.6030158996582,514000
2009-09-29,92.30000305175781,62.575904846191406,276400
2009-09-30,92.37000274658203,62.62337875366211,670900
2009-10-01,92.80999755859375,63.094520568847656,1762800
2009-10-02,92.7699966430664,63.06726837158203,936600
2009-10-05,92.76000213623047,63.060508728027344,509100
2009-10-06,92.45999908447266,62.85649490356445,382300
2009-10-07,93.05000305175781,63.25766372680664,269500
2009-10-08,92.70999908447266,63.02648162841797,422200
2009-10-09,91.81999969482422,62.421443939208984,543800
2009-10-12,92.08999633789062,62.605010986328125,464800
2009-10-13,92.30000305175781,62.7477912902832,489200
2009-10-14,91.66999816894531,62.319480895996094,523400
2009-10-15,91.37000274658203,62.11558532714844,826100
2009-10-16,91.79000091552734,62.40104675292969,765300
2009-10-19,91.93000030517578,62.496253967285156,487000
2009-10-20,92.13999938964844,62.63901138305664,640800
2009-10-21,91.93000030517578,62.496253967285156,406400
2009-10-22,91.66000366210938,62.3126335144043,421300
2009-10-23,91.20999908447266,62.006771087646484,424800
2009-10-26,90.69000244140625,61.653221130371094,762500
2009-10-27,91.47000122070312,62.18349075317383,669800
2009-10-28,91.75,62.373878479003906,684100
2009-10-29,91.30999755859375,62.07476043701172,351200
2009-10-30,91.98999786376953,62.537017822265625,600100
2009-11-02,90.9800033569336,62.37250900268555,671100
2009-11-03,90.7699966430664,62.228515625,353000
2009-11-04,90.5199966430664,62.05712890625,497700
2009-11-05,90.54000091552734,62.070838928222656,147600
2009-11-06,90.80999755859375,62.25596618652344,327300
2009-11-09,90.8499984741211,62.2833366394043,531500
2009-11-10,90.91999816894531,62.331363677978516,523000
2009-11-11,91.18000030517578,62.509559631347656,275600
2009-11-12,91.20999908447266,62.53017807006836,374500
2009-11-13,91.27999877929688,62.57817077636719,229300
2009-11-16,91.7699966430664,62.91410446166992,514800
2009-11-17,91.97000122070312,63.05121994018555,506000
2009-11-18,91.73999786376953,62.89350128173828,285300
2009-11-19,91.8499984741211,62.968894958496094,378200
2009-11-20,91.83999633789062,62.962074279785156,304200
2009-11-23,91.70999908447266,62.872920989990234,505100
2009-11-24,92.18000030517578,63.19514465332031,753800
2009-11-25,92.48999786376953,63.407657623291016,431200
2009-11-27,92.91000366210938,63.69561004638672,412200
2009-11-30,93.05999755859375,63.798484802246094,404100
2009-12-01,92.33999633789062,63.44664001464844,529600
2009-12-02,92.1500015258789,63.31611251831055,463800
2009-12-03,91.72000122070312,63.02069091796875,463500
2009-12-04,91.04000091552734,62.55341339111328,756700
2009-12-07,91.29000091552734,62.72520065307617,399100
2009-12-08,91.61000061035156,62.94511032104492,502200
2009-12-09,91.43000030517578,62.82136917114258,721800
2009-12-10,91.12000274658203,62.60841751098633,423200
2009-12-11,90.66999816894531,62.299156188964844,454000
2009-12-14,90.66999816894531,62.299156188964844,195200
2009-12-15,90.37999725341797,62.099979400634766,326000
2009-12-16,90.37999725341797,62.099979400634766,761500
2009-12-17,91.18000030517578,62.64968490600586,468800
2009-12-18,90.7300033569336,62.34041976928711,517600
2009-12-21,89.80000305175781,61.701419830322266,609900
2009-12-22,89.4000015258789,61.4266357421875,366700
2009-12-23,89.36000061035156,61.399078369140625,351400
2009-12-24,89.04000091552734,61.17924499511719,160200
2009-12-28,88.80000305175781,61.01433181762695,1181400
2009-12-29,88.87000274658203,61.1754150390625,428800
2009-12-30,89.02999877929688,61.285545349121094,473100
2009-12-31,88.5999984741211,60.98957061767578,304300
2010-01-04,88.81999969482422,61.14098358154297,619100
2010-01-05,89.20999908447266,61.40947723388672,1547500
2010-01-06,88.8499984741211,61.161617279052734,365500
2010-01-07,88.8499984741211,61.161617279052734,390900
2010-01-08,88.95999908447266,61.23734664916992,382500
