observation_date,PAYEMS_20240925
2001-01-01,132699
2001-02-01,132786
2001-03-01,132751
2001-04-01,132455
2001-05-01,132411
2001-06-01,132296
2001-07-01,132173
2001-08-01,132024
2001-09-01,131765
2001-10-01,131452
2001-11-01,131141
2001-12-01,130984
2002-01-01,130853
2002-02-01,130732
2002-03-01,130720
2002-04-01,130616
2002-05-01,130632
2002-06-01,130682
2002-07-01,130585
2002-08-01,130587
2002-09-01,130498
2002-10-01,130621
2002-11-01,130617
2002-12-01,130469
2003-01-01,130580
2003-02-01,130443
2003-03-01,130232
2003-04-01,130176
2003-05-01,130196
2003-06-01,130192
2003-07-01,130184
2003-08-01,130153
2003-09-01,130252
2003-10-01,130439
2003-11-01,130482
2003-12-01,130594
2004-01-01,130766
2004-02-01,130822
2004-03-01,131139
2004-04-01,131409
2004-05-01,131693
2004-06-01,131789
2004-07-01,131850
2004-08-01,131936
2004-09-01,132083
2004-10-01,132435
2004-11-01,132509
2004-12-01,132633
2005-01-01,132779
2005-02-01,133033
2005-03-01,133154
2005-04-01,133515
2005-05-01,133687
2005-06-01,133939
2005-07-01,134297
2005-08-01,134495
2005-09-01,134552
2005-10-01,134646
2005-11-01,135001
2005-12-01,135160
2006-01-01,135425
2006-02-01,135732
2006-03-01,136041
2006-04-01,136210
2006-05-01,136247
2006-06-01,136328
2006-07-01,136522
2006-08-01,136688
2006-09-01,136825
2006-10-01,136849
2006-11-01,137068
2006-12-01,137251
2007-01-01,137475
2007-02-01,137556
2007-03-01,137782
2007-04-01,137842
2007-05-01,137993
2007-06-01,138072
2007-07-01,138042
2007-08-01,138017
2007-09-01,138103
2007-10-01,138175
2007-11-01,138291
2007-12-01,138396
2008-01-01,138397
2008-02-01,138326
2008-03-01,138256
2008-04-01,138037
2008-05-01,137847
2008-06-01,137689
2008-07-01,137492
2008-08-01,137209
2008-09-01,136759
2008-10-01,136294
2008-11-01,135546
2008-12-01,134848
2009-01-01,134066
2009-02-01,133314
2009-03-01,132494
2009-04-01,131825
2009-05-01,131470
2009-06-01,131003
2009-07-01,130661
2009-08-01,130480
2009-09-01,130241
2009-10-01,130061
2009-11-01,130059
2009-12-01,129807
2010-01-01,129795
2010-02-01,129702
2010-03-01,129865
2010-04-01,130115
2010-05-01,130645
2010-06-01,130501
2010-07-01,130420
2010-08-01,130423
2010-09-01,130340
2010-10-01,130620
2010-11-01,130754
2010-12-01,130836
2011-01-01,130839
2011-02-01,131054
2011-03-01,131278
2011-04-01,131604
2011-05-01,131704
2011-06-01,131936
2011-07-01,131992
2011-08-01,132123
2011-09-01,132346
2011-10-01,132557
2011-11-01,132701
2011-12-01,132902
2012-01-01,133243
2012-02-01,133521
2012-03-01,133745
2012-04-01,133828
2012-05-01,133935
2012-06-01,134008
2012-07-01,134153
2012-08-01,134329
2012-09-01,134512
2012-10-01,134672
2012-11-01,134831
2012-12-01,135074
2013-01-01,135263
2013-02-01,135548
2013-03-01,135690
2013-04-01,135876
2013-05-01,136090
2013-06-01,136269
2013-07-01,136391
2013-08-01,136634
2013-09-01,136819
2013-10-01,137039
2013-11-01,137312
2013-12-01,137367
2014-01-01,137551
2014-02-01,137710
2014-03-01,137987
2014-04-01,138298
2014-05-01,138500
2014-06-01,138833
2014-07-01,139076
2014-08-01,139257
2014-09-01,139564
2014-10-01,139804
2014-11-01,140088
2014-12-01,140366
2015-01-01,140562
2015-02-01,140831
2015-03-01,140925
2015-04-01,141202
2015-05-01,141539
2015-06-01,141695
2015-07-01,141989
2015-08-01,142130
2015-09-01,142265
2015-10-01,142584
2015-11-01,142810
2015-12-01,143083
2016-01-01,143196
2016-02-01,143411
2016-03-01,143666
2016-04-01,143856
2016-05-01,143901
2016-06-01,144152
2016-07-01,144515
2016-08-01,144664
2016-09-01,144961
2016-10-01,145069
2016-11-01,145188
2016-12-01,145410
2017-01-01,145636
2017-02-01,145848
2017-03-01,145976
2017-04-01,146173
2017-05-01,146389
2017-06-01,146588
2017-07-01,146772
2017-08-01,146907
2017-09-01,146999
2017-10-01,147146
2017-11-01,147375
2017-12-01,147521
2018-01-01,147667
2018-02-01,148054
2018-03-01,148280
2018-04-01,148426
2018-05-01,148755
2018-06-01,148968
2018-07-01,149023
2018-08-01,149274
2018-09-01,149361
2018-10-01,149525
2018-11-01,149622
2018-12-01,149804
2019-01-01,150062
2019-02-01,150067
2019-03-01,150294
2019-04-01,150602
2019-05-01,150640
2019-06-01,150844
2019-07-01,150934
2019-08-01,151155
2019-09-01,151358
2019-10-01,151458
2019-11-01,151666
2019-12-01,151792
2020-01-01,152045
2020-02-01,152309
2020-03-01,150898
2020-04-01,130421
2020-05-01,133040
2020-06-01,137655
2020-07-01,139240
2020-08-01,140774
2020-09-01,141820
2020-10-01,142493
2020-11-01,142761
2020-12-01,142518
2021-01-01,142916
2021-02-01,143443
2021-03-01,144274
2021-04-01,144593
2021-05-01,145044
2021-06-01,145822
2021-07-01,146761
2021-08-01,147226
2021-09-01,147706
2021-10-01,148566
2021-11-01,149197
2021-12-01,149763
2022-01-01,150014
2022-02-01,150876
2022-03-01,151370
2022-04-01,151642
2022-05-01,151928
2022-06-01,152348
2022-07-01,153038
2022-08-01,153281
2022-09-01,153536
2022-10-01,153897
2022-11-01,154155
2022-12-01,154291
2023-01-01,154773
2023-02-01,155060
2023-03-01,155206
2023-04-01,155484
2023-05-01,155787
2023-06-01,156027
2023-07-01,156211
2023-08-01,156421
2023-09-01,156667
2023-10-01,156832
2023-11-01,157014
2023-12-01,157304
2024-01-01,157560
2024-02-01,157796
2024-03-01,158106
2024-04-01,158214
2024-05-01,158430
2024-06-01,158548
2024-07-01,158637
2024-08-01,158779
