date,close,adj_close,volume
2009-07-01,29.239999771118164,17.432373046875,3855600
2009-07-02,28.350000381469727,16.901769638061523,1562800
2009-07-06,28.389999389648438,16.925617218017578,714200
2009-07-07,27.690000534057617,16.508289337158203,892500
2009-07-08,27.540000915527344,16.418861389160156,631800
2009-07-09,28.100000381469727,16.75272560119629,870700
2009-07-10,27.549999237060547,16.42482566833496,524200
2009-07-13,28.049999237060547,16.722909927368164,440100
2009-07-14,28.1200008392334,16.764646530151367,385900
2009-07-15,28.969999313354492,17.27140235900879,793600
2009-07-16,29.440000534057617,17.55161476135254,536600
2009-07-17,29.399999618530273,17.527755737304688,895000
2009-07-20,29.90999984741211,17.831815719604492,633100
2009-07-21,30.059999465942383,17.92124366760254,788000
2009-07-22,30.170000076293945,17.9868221282959,509700
2009-07-23,30.610000610351562,18.249141693115234,1103400
2009-07-24,30.8700008392334,18.404146194458008,566500
2009-07-27,30.8799991607666,18.410110473632812,510300
2009-07-28,30.780000686645508,18.35048484802246,1095700
2009-07-29,30.420000076293945,18.1358699798584,1232600
2009-07-30,31.139999389648438,18.56511116027832,386400
2009-07-31,31.579999923706055,18.827438354492188,720900
2009-08-03,32.43000030517578,19.334196090698242,798800
2009-08-04,32.38999938964844,19.31035041809082,1077400
2009-08-05,32.279998779296875,19.244768142700195,873100
2009-08-06,32.060001373291016,19.11360740661621,520200
2009-08-07,31.989999771118164,19.07187271118164,532600
2009-08-10,31.760000228881836,18.934749603271484,576600
2009-08-11,31.540000915527344,18.8035945892334,509900
2009-08-12,31.940000534057617,19.04206657409668,507500
2009-08-13,32.45000076293945,19.346118927001953,1127100
2009-08-14,32.16999816894531,19.179180145263672,694500
2009-08-17,31.110000610351562,18.547229766845703,490200
2009-08-18,31.6299991607666,18.85724449157715,513800
2009-08-19,31.8799991607666,19.006298065185547,345100
2009-08-20,32.209999084472656,19.203027725219727,698000
2009-08-21,32.84000015258789,19.57862663269043,519500
2009-08-24,32.83000183105469,19.572668075561523,571200
2009-08-25,33.119998931884766,19.745559692382812,538600
2009-08-26,32.959999084472656,19.650169372558594,664200
2009-08-27,33.220001220703125,19.805179595947266,453000
2009-08-28,33.2400016784668,19.817102432250977,598800
2009-08-31,33.0,19.67401695251465,457200
2009-09-01,32.20000076293945,19.197071075439453,2280100
2009-09-02,32.2400016784668,19.22092056274414,485500
2009-09-03,32.4900016784668,19.369962692260742,1102400
2009-09-04,32.88999938964844,19.60843276977539,444100
2009-09-08,33.52000045776367,19.984037399291992,1055100
2009-09-09,33.95000076293945,20.24039077758789,2298900
2009-09-10,34.220001220703125,20.40135955810547,1076300
2009-09-11,34.11000061035156,20.335779190063477,842300
2009-09-14,34.20000076293945,20.389436721801758,816800
2009-09-15,34.11000061035156,20.335779190063477,723400
2009-09-16,35.0099983215332,20.872352600097656,3050200
2009-09-17,34.79999923706055,20.747142791748047,3352800
2009-09-18,34.86000061035156,20.78291130065918,1323900
2009-09-21,34.47999954223633,20.55636978149414,482500
2009-09-22,34.91999816894531,20.818679809570312,710000
2009-09-23,34.7400016784668,20.711376190185547,1287200
